product,day,timestamp,price,quantity,mid_at_trade,trade_location,roll_min_500,roll_max_500,near_min_w500,near_max_w500,fwd_mid_50,fwd_mid_100,fwd_mid_500,fwd_ret_50,fwd_ret_100,fwd_ret_500
HYDROGEL_PACK,0,8000,10018.0,6,10014.0,at_or_above_ask_touch,9990.0,10014.0,False,True,10013.0,10007.0,9992.0,-1.0,-7.0,-22.0
HYDROGEL_PACK,0,10100,10014.0,5,10006.0,at_or_above_ask_touch,9990.0,10014.0,False,True,10016.0,10012.0,9996.0,10.0,6.0,-10.0
HYDROGEL_PACK,0,15300,10026.0,3,10017.5,at_or_above_ask_touch,9990.0,10020.0,False,True,10010.0,9999.0,9984.0,-7.5,-18.5,-33.5
HYDROGEL_PACK,0,15700,10009.0,2,10017.0,at_or_below_bid_touch,9990.0,10020.0,False,False,10010.0,9999.0,9987.0,-7.0,-18.0,-30.0
HYDROGEL_PACK,0,16400,10009.0,4,10017.0,at_or_below_bid_touch,9990.0,10020.0,False,False,10001.5,9997.0,9989.0,-15.5,-20.0,-28.0
HYDROGEL_PACK,0,20300,10002.0,5,10010.0,at_or_below_bid_touch,9990.0,10022.0,False,False,9999.0,9996.0,9969.0,-11.0,-14.0,-41.0
HYDROGEL_PACK,0,20500,10000.0,3,10008.0,at_or_below_bid_touch,9990.0,10022.0,False,False,9999.0,9996.0,9977.0,-9.0,-12.0,-31.0
HYDROGEL_PACK,0,23300,9997.0,2,9989.0,at_or_above_ask_touch,9989.0,10022.0,False,False,9989.0,9969.0,9990.0,0.0,-20.0,1.0
HYDROGEL_PACK,0,28500,9994.0,5,9986.0,at_or_above_ask_touch,9986.0,10022.0,False,False,9975.0,9979.0,9976.0,-11.0,-7.0,-10.0
HYDROGEL_PACK,0,29100,9973.0,6,9981.0,at_or_below_bid_touch,9980.0,10022.0,True,False,9967.0,9981.0,9979.0,-14.0,0.0,-2.0
HYDROGEL_PACK,0,45800,9978.0,2,9986.0,at_or_below_bid_touch,9965.0,10022.0,False,False,9991.0,9981.0,9951.0,5.0,-5.0,-35.0
HYDROGEL_PACK,0,54600,9987.0,3,9979.0,at_or_above_ask_touch,9965.0,10022.0,False,False,9995.0,9994.0,9950.0,16.0,15.0,-29.0
HYDROGEL_PACK,0,55000,9987.0,6,9979.0,at_or_above_ask_touch,9965.0,10022.0,False,False,9996.0,9986.0,9954.0,17.0,7.0,-25.0
HYDROGEL_PACK,0,56700,9991.0,6,9983.0,at_or_above_ask_touch,9965.0,10022.0,False,False,9989.0,9989.0,9951.0,6.0,6.0,-32.0
HYDROGEL_PACK,0,60000,9988.0,4,9996.0,at_or_below_bid_touch,9965.0,10022.0,False,False,9986.0,9974.0,9940.0,-10.0,-22.0,-56.0
HYDROGEL_PACK,0,63900,9986.0,5,9994.0,at_or_below_bid_touch,9965.0,10022.0,False,False,9986.0,9996.0,9956.5,-8.0,2.0,-37.5
HYDROGEL_PACK,0,67600,9993.0,5,9985.0,at_or_above_ask_touch,9965.0,10016.0,False,False,9982.0,9982.0,9952.0,-3.0,-3.0,-33.0
HYDROGEL_PACK,0,73000,9980.0,3,9988.0,at_or_below_bid_touch,9965.0,10004.0,False,False,9980.0,9956.0,9971.0,-8.0,-32.0,-17.0
HYDROGEL_PACK,0,77800,9990.0,2,9982.0,at_or_above_ask_touch,9965.0,10001.0,False,False,9958.0,9947.0,9962.0,-24.0,-35.0,-20.0
HYDROGEL_PACK,0,90000,9950.0,6,9942.0,at_or_above_ask_touch,9938.0,10001.0,False,False,9942.0,9955.5,9941.0,0.0,13.5,-1.0
HYDROGEL_PACK,0,93200,9948.0,6,9940.0,at_or_above_ask_touch,9938.0,10001.0,False,False,9945.5,9949.0,9959.0,5.5,9.0,19.0
HYDROGEL_PACK,0,94600,9931.0,3,9939.0,at_or_below_bid_touch,9938.0,10001.0,True,False,9949.0,9950.0,9958.0,10.0,11.0,19.0
HYDROGEL_PACK,0,94900,9934.0,4,9941.5,at_or_below_bid_touch,9938.0,10001.0,True,False,9954.0,9952.0,9956.0,12.5,10.5,14.5
HYDROGEL_PACK,0,96800,9940.0,2,9948.0,at_or_below_bid_touch,9938.0,10001.0,False,False,9957.0,9951.0,9963.0,9.0,3.0,15.0
HYDROGEL_PACK,0,102200,9946.0,5,9954.0,at_or_below_bid_touch,9938.0,10001.0,False,False,9947.0,9940.0,9979.0,-7.0,-14.0,25.0
HYDROGEL_PACK,0,105100,9943.0,4,9951.0,at_or_below_bid_touch,9938.0,10001.0,False,False,9940.0,9944.0,9978.0,-11.0,-7.0,27.0
HYDROGEL_PACK,0,106100,9943.0,6,9950.5,at_or_below_bid_touch,9938.0,10001.0,False,False,9943.0,9937.0,9976.0,-7.5,-13.5,25.5
HYDROGEL_PACK,0,108800,9949.0,2,9941.5,at_or_above_ask_touch,9938.0,10001.0,False,False,9952.0,9952.0,9977.0,10.5,10.5,35.5
HYDROGEL_PACK,0,109500,9926.0,2,9934.0,at_or_below_bid_touch,9932.0,10001.0,True,False,9949.0,9955.0,9973.0,15.0,21.0,39.0
HYDROGEL_PACK,0,116300,9929.0,5,9937.0,at_or_below_bid_touch,9932.0,9999.0,True,False,9955.0,9966.0,9968.0,18.0,29.0,31.0
HYDROGEL_PACK,0,125000,9972.0,4,9964.0,at_or_above_ask_touch,9932.0,9985.0,False,False,9953.0,9954.0,9970.0,-11.0,-10.0,6.0
HYDROGEL_PACK,0,128500,9955.0,5,9963.0,at_or_below_bid_touch,9932.0,9982.0,False,False,9964.0,9949.5,9963.0,1.0,-13.5,0.0
HYDROGEL_PACK,0,132000,9950.0,3,9958.0,at_or_below_bid_touch,9932.0,9972.5,False,False,9949.0,9952.0,9971.0,-9.0,-6.0,13.0
HYDROGEL_PACK,0,132900,9956.0,2,9964.0,at_or_below_bid_touch,9932.0,9972.5,False,False,9957.0,9957.0,9963.0,-7.0,-7.0,-1.0
HYDROGEL_PACK,0,133600,9970.0,5,9962.0,at_or_above_ask_touch,9932.0,9972.5,False,False,9945.0,9957.0,9965.0,-17.0,-5.0,3.0
HYDROGEL_PACK,0,136800,9955.0,5,9947.0,at_or_above_ask_touch,9932.0,9972.5,False,False,9954.5,9963.0,9963.0,7.5,16.0,16.0
HYDROGEL_PACK,0,141700,9939.0,2,9947.0,at_or_below_bid_touch,9932.0,9972.5,False,False,9965.0,9987.0,9960.0,18.0,40.0,13.0
HYDROGEL_PACK,0,143600,9949.0,4,9957.0,at_or_below_bid_touch,9932.0,9972.5,False,False,9983.0,9972.0,9973.0,26.0,15.0,16.0
