product,bucket,w,delta,n,mean_fwd50,mean_fwd100,mean_fwd500,t_fwd50,t_fwd100,t_fwd500
HYDROGEL_PACK,ALL,-,-,1010,0.2571996027805363,0.467098703888335,2.2012513034410843,0.624542275183815,0.8316104221787174,2.2080578223583887
HYDROGEL_PACK,near_min,200,0,143,2.979020979020979,5.419014084507042,12.898550724637682,2.601190412055797,3.4013812735131155,5.343376911196728
HYDROGEL_PACK,near_max,200,0,129,-1.3255813953488371,-2.19921875,-6.331932773109243,-1.0822272563119828,-1.3856642949364268,-2.2639832468324
HYDROGEL_PACK,near_min,200,1,154,2.866883116883117,5.61437908496732,11.929054054054054,2.567029688086558,3.692568082583639,5.196686119833381
HYDROGEL_PACK,near_max,200,1,150,-0.9533333333333334,-2.1308724832214767,-7.110714285714286,-0.8702269161520715,-1.5006052254863227,-2.8085133681358108
HYDROGEL_PACK,near_min,200,2,166,2.8575757575757574,5.439024390243903,12.408227848101266,2.6878030695152173,3.708445454151572,5.553250683599224
HYDROGEL_PACK,near_max,200,2,171,-1.2719298245614035,-1.727810650887574,-7.10377358490566,-1.241223438818844,-1.3060826415393836,-3.037390750395286
HYDROGEL_PACK,near_min,500,0,66,5.393939393939394,8.984615384615385,16.753968253968253,3.1369108925292046,3.600048800163066,4.578102211266906
HYDROGEL_PACK,near_max,500,0,84,-1.3988095238095237,-3.7048192771084336,-8.012820512820513,-0.8981606811369857,-1.832772080802986,-2.4534441753540377
HYDROGEL_PACK,near_min,500,1,76,4.730263157894737,8.98,14.232876712328768,2.865259893834444,3.9942508818726896,4.276291762681629
HYDROGEL_PACK,near_max,500,1,97,-1.4329896907216495,-3.8854166666666665,-8.967032967032967,-1.025622982354222,-2.1374407790418326,-2.99837338182284
HYDROGEL_PACK,near_min,500,2,86,5.252941176470588,9.494047619047619,16.19753086419753,3.5141979187015258,4.610719686138857,5.056505829330695
HYDROGEL_PACK,near_max,500,2,113,-1.2256637168141593,-3.779279279279279,-10.169811320754716,-0.9400565481229004,-2.2066593589654726,-3.682184101850833
HYDROGEL_PACK,near_min,1000,0,44,5.818181818181818,11.011363636363637,21.579545454545453,2.5202985662017285,3.4655847617454754,5.713492280031485
HYDROGEL_PACK,near_max,1000,0,57,-2.8771929824561404,-5.1875,-10.910714285714286,-1.7253942776334092,-2.273607487811422,-2.765997409303199
HYDROGEL_PACK,near_min,1000,1,51,5.578431372549019,10.882352941176471,19.215686274509803,2.5289298516399645,3.7800628755871584,5.667785842909645
HYDROGEL_PACK,near_max,1000,1,69,-2.9927536231884058,-5.779411764705882,-13.5,-2.0427177222310524,-2.8769712030995533,-3.922650321596066
HYDROGEL_PACK,near_min,1000,2,56,5.866071428571429,11.035714285714286,19.678571428571427,2.89524174326308,4.167154436811023,6.297133510754972
HYDROGEL_PACK,near_max,1000,2,78,-2.032051282051282,-4.857142857142857,-13.103896103896103,-1.4470826899012288,-2.5554410720872305,-4.0920258281943465
VELVETFRUIT_EXTRACT,ALL,-,-,1372,0.3915266617969321,0.374633431085044,0.5405819295558959,2.2109612755046615,1.516164678640248,1.1051859104800783
VELVETFRUIT_EXTRACT,near_min,200,0,88,0.011363636363636364,1.7159090909090908,5.72289156626506,0.018694019387229893,1.712958509616101,3.083668032457614
VELVETFRUIT_EXTRACT,near_max,200,0,104,-1.0432692307692308,-2.0865384615384617,-3.5436893203883497,-1.5895227715108915,-2.2535955596588986,-1.8798689828734196
VELVETFRUIT_EXTRACT,near_min,200,1,156,0.6634615384615384,1.1955128205128205,4.194630872483222,1.366540183715745,1.5222585430138613,3.054496965955065
VELVETFRUIT_EXTRACT,near_max,200,1,142,-0.8802816901408451,-1.9401408450704225,-2.2056737588652484,-1.6065835104640824,-2.54906880538859,-1.455917681040639
VELVETFRUIT_EXTRACT,near_min,200,2,203,0.6576354679802956,0.9802955665024631,4.122395833333333,1.5727174168336486,1.4485705147196277,3.4014505808480595
VELVETFRUIT_EXTRACT,near_max,200,2,184,-0.4562841530054645,-1.0191256830601092,-2.298882681564246,-0.985952376032666,-1.5407040546086184,-1.7092493764888426
VELVETFRUIT_EXTRACT,near_min,500,0,51,0.8235294117647058,2.656862745098039,9.395833333333334,0.9962625542527321,1.9024763982876793,4.3893228763315015
VELVETFRUIT_EXTRACT,near_max,500,0,64,-1.3984375,-2.7265625,-7.5,-1.6876174694343573,-2.1572488924355113,-3.0104712360255266
VELVETFRUIT_EXTRACT,near_min,500,1,93,0.9623655913978495,2.0161290322580645,7.4772727272727275,1.409939196184955,1.8133351855548465,4.72356021414214
VELVETFRUIT_EXTRACT,near_max,500,1,88,-1.1136363636363635,-2.4829545454545454,-4.806818181818182,-1.5973250817025724,-2.392155993734453,-2.3580045177860436
VELVETFRUIT_EXTRACT,near_min,500,2,120,0.9625,1.7708333333333333,7.339285714285714,1.6623766976600383,1.8906471708079626,5.317637267827482
VELVETFRUIT_EXTRACT,near_max,500,2,114,-0.4026548672566372,-1.2300884955752212,-4.752212389380531,-0.6591366622319866,-1.378229785485668,-2.7659612646200236
VELVETFRUIT_EXTRACT,near_min,1000,0,37,1.162162162162162,3.081081081081081,11.342857142857143,1.149069457296507,1.9587439322390217,4.34579181661229
VELVETFRUIT_EXTRACT,near_max,1000,0,42,-2.630952380952381,-3.7976190476190474,-13.095238095238095,-2.800293262331716,-2.3006343056998215,-4.612883557199425
VELVETFRUIT_EXTRACT,near_min,1000,1,73,1.4726027397260273,2.643835616438356,9.178571428571429,1.861877041542624,2.1325062802875854,5.22890138400996
VELVETFRUIT_EXTRACT,near_max,1000,1,58,-2.1982758620689653,-2.9655172413793105,-8.405172413793103,-2.725947160537748,-2.2480568726569783,-3.339898506818447
VELVETFRUIT_EXTRACT,near_min,1000,2,89,1.3932584269662922,2.0112359550561796,8.623529411764705,1.9817241256657154,1.8353068234250252,5.484120926001112
VELVETFRUIT_EXTRACT,near_max,1000,2,75,-1.3783783783783783,-1.9662162162162162,-8.162162162162161,-1.9022237065291896,-1.749058158337973,-3.77208849322882
