strike,ols_slope,r_squared,rolling_corr_mean,rolling_corr_std
4000,0.9996717606855269,0.9971953643698875,0.6004815549142437,0.05613591948576864
4500,0.9994302474271209,0.9976458533035594,0.6008079724378557,0.04852303566654958
5000,0.9153195133287827,0.9904564300585458,0.7536136581449306,0.031800543122980654
5100,0.7843212303396871,0.9255741875919536,0.765953274296504,0.028545713069642244
5200,0.5651146717005265,0.8353737193503395,0.7200383755217918,0.035002279092552914
5300,0.3336025817374683,0.7009433684376883,0.62130370075708,0.05613195115680866
5400,0.12574821717314388,0.3285214092475961,0.5385005555832275,0.04782401733318
5500,0.05487479703282604,0.24331178184083335,0.3442835734817721,0.06548422897329338
6000,-7.579350091213096e-19,,,
6500,-7.579350091213096e-19,,,
