strike,n_rows,mean_spread,mean_quoted_size_bid,mean_quoted_size_ask,mean_iv,iv_std,empirical_delta,mean_moneyness
4000,30000,20.813466666666667,10.921533333333333,10.9199,0.09173479016723776,0.257298438928726,0.9996717606855269,1.312524525
4500,30000,15.852666666666666,8.951033333333333,8.948766666666666,0.19482346500800046,0.2289294445637959,0.9994302474271209,1.1666884666666668
5000,30000,6.043333333333333,15.3261,15.484266666666667,0.2414047620241359,0.007844632034205488,0.9153195133287827,1.05001962
5100,30000,4.295833333333333,19.248366666666666,19.347933333333334,0.2402570415335,0.005212972796322182,0.7843212303396871,1.029431
5200,30000,2.888133333333333,22.563433333333332,22.508733333333332,0.2419807446842294,0.0034926642453518013,0.5651146717005265,1.00963425
5300,30000,2.1068,20.2838,20.242866666666668,0.24526163044126467,0.0043527900831734825,0.3336025817374683,0.9905845471698114
5400,30000,1.3814333333333333,21.763033333333333,21.719133333333332,0.22975511252301037,0.0034642267625339973,0.12574821717314388,0.9722403888888888
5500,30000,1.1497666666666666,22.178066666666666,22.171666666666667,0.24937894700110014,0.003990755591428409,0.05487479703282604,0.9545632909090911
6000,30000,1.0,22.476166666666668,22.478866666666665,0.40267105585070967,0.02694037469631363,-7.579350091213096e-19,0.87501635
6500,30000,1.0,15.479433333333333,15.482133333333334,0.6025002409288209,0.040533003744998235,-7.579350091213096e-19,0.8077074000000001
