day,timestamp,strike,voucher_mid,underlying_mid,moneyness,tte_years,iv
0,0,5400,23.0,5250.0,0.9722222222222222,0.021917808219178082,0.23988125825462786
0,100,4500,751.0,5250.5,1.1667777777777777,0.021917534246575342,0.4082231901714845
0,200,5000,257.0,5250.5,1.0501,0.021917260273972602,0.23533585248387826
0,300,5000,257.5,5250.5,1.0501,0.021916986301369863,0.239681366749356
0,400,5400,23.5,5250.5,0.9723148148148149,0.021916712328767123,0.24158012882013127
0,500,4500,749.0,5249.5,1.1665555555555556,0.021916438356164383,
0,600,5100,170.5,5248.5,1.0291176470588235,0.021916164383561643,0.2409437603400297
0,700,5100,170.5,5248.5,1.0291176470588235,0.021915890410958903,0.24094526636584956
0,800,5500,8.5,5247.5,0.9540909090909091,0.021915616438356166,0.24167339176313693
0,900,4500,746.0,5246.5,1.165888888888889,0.021915342465753426,
0,1000,5100,169.0,5247.5,1.0289215686274509,0.021915068493150683,0.23775434258383255
0,1100,4000,1248.5,5248.5,1.312125,0.021914794520547946,0.0001
0,1200,5500,8.5,5248.5,0.9542727272727273,0.021914520547945206,0.24095064896370905
0,1300,4500,747.5,5247.5,1.166111111111111,0.021914246575342466,0.0001
0,1400,6000,0.5,5247.5,0.8745833333333334,0.021913972602739726,0.3545722412464319
0,1500,4000,1246.5,5246.5,1.311625,0.021913698630136987,0.0001
0,1600,5400,22.5,5246.0,0.9714814814814815,0.021913424657534247,0.24151350971289284
0,1700,4500,746.0,5246.0,1.1657777777777778,0.021913150684931507,0.0001
0,1800,6000,0.5,5246.5,0.8744166666666666,0.021912876712328767,0.3550332737050276
0,1900,4000,1246.5,5247.0,1.31175,0.021912602739726027,
0,2000,5200,100.5,5247.5,1.0091346153846155,0.021912328767123287,0.24102319442803383
0,2100,4500,747.0,5247.0,1.166,0.021912054794520547,0.0001
0,2200,6000,0.5,5247.0,0.8745,0.021911780821917807,0.3548160585068857
0,2300,5200,100.5,5247.5,1.0091346153846155,0.021911506849315067,0.24102771487017643
0,2400,4500,748.0,5248.5,1.1663333333333334,0.02191123287671233,
0,2500,4500,747.0,5247.5,1.166111111111111,0.021910958904109587,
0,2600,6000,0.5,5246.5,0.8744166666666666,0.02191068493150685,0.3550510307727289
0,2700,5200,99.5,5246.5,1.0089423076923076,0.02191041095890411,0.23971697188959795
0,2800,4500,745.0,5245.5,1.1656666666666666,0.02191013698630137,
0,2900,4500,742.5,5246.5,1.165888888888889,0.02190986301369863,
0,3000,6000,0.5,5245.5,0.87425,0.02190958904109589,0.3555121475524849
