timestamp,buyer,seller,symbol,currency,price,quantity
1700,,,ROBOT_DISHES,XIRECS,9983.0,4
1700,,,ROBOT_IRONING,XIRECS,9986.0,4
1700,,,ROBOT_LAUNDRY,XIRECS,10053.0,4
1700,,,ROBOT_MOPPING,XIRECS,10036.0,4
1700,,,ROBOT_VACUUMING,XIRECS,9993.0,4
14500,,,ROBOT_DISHES,XIRECS,9894.0,1
14500,,,ROBOT_IRONING,XIRECS,9934.0,1
14500,,,ROBOT_LAUNDRY,XIRECS,10046.0,1
14500,,,ROBOT_MOPPING,XIRECS,10259.0,1
14500,,,ROBOT_VACUUMING,XIRECS,9846.0,1
15100,,,ROBOT_DISHES,XIRECS,9901.0,2
15100,,,ROBOT_IRONING,XIRECS,9904.0,2
15100,,,ROBOT_LAUNDRY,XIRECS,10020.0,2
15100,,,ROBOT_MOPPING,XIRECS,10285.0,2
15100,,,ROBOT_VACUUMING,XIRECS,9846.0,2
26500,,,ROBOT_DISHES,XIRECS,9893.0,4
26500,,,ROBOT_IRONING,XIRECS,10004.0,4
26500,,,ROBOT_LAUNDRY,XIRECS,9951.0,4
26500,,,ROBOT_MOPPING,XIRECS,10141.0,4
26500,,,ROBOT_VACUUMING,XIRECS,9858.0,4
36400,,,ROBOT_DISHES,XIRECS,9845.0,4
36400,,,ROBOT_IRONING,XIRECS,9976.0,4
36400,,,ROBOT_LAUNDRY,XIRECS,9863.0,4
36400,,,ROBOT_MOPPING,XIRECS,10343.0,4
36400,,,ROBOT_VACUUMING,XIRECS,10052.0,4
38400,,,ROBOT_DISHES,XIRECS,9837.0,4
38400,,,ROBOT_IRONING,XIRECS,9996.0,4
38400,,,ROBOT_LAUNDRY,XIRECS,9927.0,4
38400,,,ROBOT_MOPPING,XIRECS,10373.0,4
38400,,,ROBOT_VACUUMING,XIRECS,10073.0,4
38600,,,ROBOT_DISHES,XIRECS,9832.0,4
38600,,,ROBOT_IRONING,XIRECS,10004.0,4
38600,,,ROBOT_LAUNDRY,XIRECS,9937.0,4
38600,,,ROBOT_MOPPING,XIRECS,10370.0,4
38600,,,ROBOT_VACUUMING,XIRECS,10065.0,4
52600,,,ROBOT_DISHES,XIRECS,9772.0,2
52600,,,ROBOT_IRONING,XIRECS,10104.0,2
52600,,,ROBOT_LAUNDRY,XIRECS,10038.0,2
52600,,,ROBOT_MOPPING,XIRECS,10399.0,2
52600,,,ROBOT_VACUUMING,XIRECS,10075.0,2
63900,,,ROBOT_DISHES,XIRECS,9500.0,2
63900,,,ROBOT_IRONING,XIRECS,9956.0,2
63900,,,ROBOT_LAUNDRY,XIRECS,9996.0,2
63900,,,ROBOT_MOPPING,XIRECS,10367.0,2
63900,,,ROBOT_VACUUMING,XIRECS,9968.0,2
69500,,,ROBOT_DISHES,XIRECS,9537.0,2
69500,,,ROBOT_IRONING,XIRECS,10004.0,2
69500,,,ROBOT_LAUNDRY,XIRECS,9916.0,2
69500,,,ROBOT_MOPPING,XIRECS,10451.0,2
69500,,,ROBOT_VACUUMING,XIRECS,9828.0,2
71200,,,ROBOT_DISHES,XIRECS,9544.0,1
71200,,,ROBOT_IRONING,XIRECS,9996.0,1
71200,,,ROBOT_LAUNDRY,XIRECS,9865.0,1
71200,,,ROBOT_MOPPING,XIRECS,10436.0,1
71200,,,ROBOT_VACUUMING,XIRECS,9818.0,1
71900,,,ROBOT_DISHES,XIRECS,9553.0,4
71900,,,ROBOT_IRONING,XIRECS,10004.0,4
71900,,,ROBOT_LAUNDRY,XIRECS,9915.0,4
71900,,,ROBOT_MOPPING,XIRECS,10477.0,4
71900,,,ROBOT_VACUUMING,XIRECS,9772.0,4
74900,,,ROBOT_DISHES,XIRECS,9553.0,1
74900,,,ROBOT_IRONING,XIRECS,9996.0,1
74900,,,ROBOT_LAUNDRY,XIRECS,9906.0,1
74900,,,ROBOT_MOPPING,XIRECS,10349.0,1
74900,,,ROBOT_VACUUMING,XIRECS,9698.0,1
75600,,,ROBOT_DISHES,XIRECS,9554.0,4
75600,,,ROBOT_IRONING,XIRECS,10004.0,4
75600,,,ROBOT_LAUNDRY,XIRECS,9910.0,4
75600,,,ROBOT_MOPPING,XIRECS,10366.0,4
75600,,,ROBOT_VACUUMING,XIRECS,9695.0,4
82400,,,ROBOT_DISHES,XIRECS,9626.0,4
82400,,,ROBOT_IRONING,XIRECS,10004.0,4
82400,,,ROBOT_LAUNDRY,XIRECS,10011.0,4
82400,,,ROBOT_MOPPING,XIRECS,10565.0,4
82400,,,ROBOT_VACUUMING,XIRECS,9694.0,4
83300,,,ROBOT_DISHES,XIRECS,9604.0,1
83300,,,ROBOT_IRONING,XIRECS,9906.0,1
83300,,,ROBOT_LAUNDRY,XIRECS,10009.0,1
83300,,,ROBOT_MOPPING,XIRECS,10503.0,1
83300,,,ROBOT_VACUUMING,XIRECS,9661.0,1
90200,,,ROBOT_DISHES,XIRECS,9498.0,4
90200,,,ROBOT_IRONING,XIRECS,9984.0,4
90200,,,ROBOT_LAUNDRY,XIRECS,10019.0,4
90200,,,ROBOT_MOPPING,XIRECS,10520.0,4
90200,,,ROBOT_VACUUMING,XIRECS,9568.0,4
91700,,,ROBOT_DISHES,XIRECS,9536.0,1
91700,,,ROBOT_IRONING,XIRECS,9990.0,1
91700,,,ROBOT_LAUNDRY,XIRECS,9977.0,1
91700,,,ROBOT_MOPPING,XIRECS,10497.0,1
91700,,,ROBOT_VACUUMING,XIRECS,9472.0,1
102800,,,ROBOT_DISHES,XIRECS,9392.0,3
102800,,,ROBOT_IRONING,XIRECS,9894.0,3
102800,,,ROBOT_LAUNDRY,XIRECS,9964.0,3
102800,,,ROBOT_MOPPING,XIRECS,10417.0,3
102800,,,ROBOT_VACUUMING,XIRECS,9425.0,3
104000,,,ROBOT_DISHES,XIRECS,9339.0,2
104000,,,ROBOT_IRONING,XIRECS,9894.0,2
104000,,,ROBOT_LAUNDRY,XIRECS,9986.0,2
104000,,,ROBOT_MOPPING,XIRECS,10400.0,2
104000,,,ROBOT_VACUUMING,XIRECS,9395.0,2
104800,,,ROBOT_DISHES,XIRECS,9313.0,3
104800,,,ROBOT_IRONING,XIRECS,9886.0,3
104800,,,ROBOT_LAUNDRY,XIRECS,10003.0,3
104800,,,ROBOT_MOPPING,XIRECS,10374.0,3
104800,,,ROBOT_VACUUMING,XIRECS,9356.0,3
106800,,,ROBOT_DISHES,XIRECS,9353.0,2
106800,,,ROBOT_IRONING,XIRECS,9886.0,2
106800,,,ROBOT_LAUNDRY,XIRECS,10072.0,2
106800,,,ROBOT_MOPPING,XIRECS,10350.0,2
106800,,,ROBOT_VACUUMING,XIRECS,9358.0,2
109600,,,ROBOT_DISHES,XIRECS,9379.0,4
109600,,,ROBOT_IRONING,XIRECS,9834.0,4
109600,,,ROBOT_LAUNDRY,XIRECS,10091.0,4
109600,,,ROBOT_MOPPING,XIRECS,10284.0,4
109600,,,ROBOT_VACUUMING,XIRECS,9386.0,4
110700,,,ROBOT_DISHES,XIRECS,9388.0,1
110700,,,ROBOT_IRONING,XIRECS,9826.0,1
110700,,,ROBOT_LAUNDRY,XIRECS,9994.0,1
110700,,,ROBOT_MOPPING,XIRECS,10284.0,1
110700,,,ROBOT_VACUUMING,XIRECS,9318.0,1
113800,,,ROBOT_DISHES,XIRECS,9413.0,3
113800,,,ROBOT_IRONING,XIRECS,9826.0,3
113800,,,ROBOT_LAUNDRY,XIRECS,10027.0,3
113800,,,ROBOT_MOPPING,XIRECS,10208.0,3
113800,,,ROBOT_VACUUMING,XIRECS,9262.0,3
121100,,,ROBOT_DISHES,XIRECS,9284.0,4
121100,,,ROBOT_IRONING,XIRECS,9744.0,4
121100,,,ROBOT_LAUNDRY,XIRECS,10063.0,4
121100,,,ROBOT_MOPPING,XIRECS,10233.0,4
121100,,,ROBOT_VACUUMING,XIRECS,9240.0,4
123300,,,ROBOT_DISHES,XIRECS,9194.0,2
123300,,,ROBOT_IRONING,XIRECS,9774.0,2
123300,,,ROBOT_LAUNDRY,XIRECS,10039.0,2
123300,,,ROBOT_MOPPING,XIRECS,10264.0,2
123300,,,ROBOT_VACUUMING,XIRECS,9251.0,2
126600,,,ROBOT_DISHES,XIRECS,9201.0,1
126600,,,ROBOT_IRONING,XIRECS,9744.0,1
126600,,,ROBOT_LAUNDRY,XIRECS,10093.0,1
